Quantity	Time Window	Window Start (Years)	Category	Second Category	Value
Co-clustering Frequency	2000-2500 Years	2000	Sichuan Basin	Western Highland	0.062
Co-clustering Frequency	2000-2500 Years	2000	Southern Segment	Western Highland	0
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	North China	0.192
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	Northern Segment	0.332
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	Panxi and Liangshan	0.66
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	Qinghai-Tibet Plateau Core	0.38
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	Sichuan Basin	0.086
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	Southern Segment	0.088
Co-clustering Frequency	2500-3000 Years	2500	Central Segment	Western Highland	0.318
Co-clustering Frequency	2500-3000 Years	2500	North China	Northern Segment	0.246
Co-clustering Frequency	2500-3000 Years	2500	North China	Panxi and Liangshan	0.106
Co-clustering Frequency	2500-3000 Years	2500	North China	Qinghai-Tibet Plateau Core	0.21
Co-clustering Frequency	2500-3000 Years	2500	North China	Sichuan Basin	0.63
Co-clustering Frequency	2500-3000 Years	2500	North China	Southern Segment	0.702
Co-clustering Frequency	2500-3000 Years	2500	North China	Western Highland	0.206
Co-clustering Frequency	2500-3000 Years	2500	Northern Segment	Panxi and Liangshan	0.168
Co-clustering Frequency	2500-3000 Years	2500	Northern Segment	Qinghai-Tibet Plateau Core	0.848
Co-clustering Frequency	2500-3000 Years	2500	Northern Segment	Sichuan Basin	0.254
Co-clustering Frequency	2500-3000 Years	2500	Northern Segment	Southern Segment	0.138
Co-clustering Frequency	2500-3000 Years	2500	Northern Segment	Western Highland	0.842
Co-clustering Frequency	2500-3000 Years	2500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.216
Co-clustering Frequency	2500-3000 Years	2500	Panxi and Liangshan	Sichuan Basin	0.032
Co-clustering Frequency	2500-3000 Years	2500	Panxi and Liangshan	Southern Segment	0.028
Co-clustering Frequency	2500-3000 Years	2500	Panxi and Liangshan	Western Highland	0.146
Co-clustering Frequency	2500-3000 Years	2500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.192
Co-clustering Frequency	2500-3000 Years	2500	Qinghai-Tibet Plateau Core	Southern Segment	0.074
Co-clustering Frequency	2500-3000 Years	2500	Qinghai-Tibet Plateau Core	Western Highland	0.862
Co-clustering Frequency	2500-3000 Years	2500	Sichuan Basin	Southern Segment	0.776
Co-clustering Frequency	2500-3000 Years	2500	Sichuan Basin	Western Highland	0.182
Co-clustering Frequency	2500-3000 Years	2500	Southern Segment	Western Highland	0.074
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	North China	0.202
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	Northern Segment	0.564
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	Panxi and Liangshan	0.584
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	Qinghai-Tibet Plateau Core	0.614
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	Sichuan Basin	0.344
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	Southern Segment	0.078
Co-clustering Frequency	3000-3500 Years	3000	Central Segment	Western Highland	0.602
Co-clustering Frequency	3000-3500 Years	3000	North China	Northern Segment	0.238
Co-clustering Frequency	3000-3500 Years	3000	North China	Panxi and Liangshan	0.058
Co-clustering Frequency	3000-3500 Years	3000	North China	Qinghai-Tibet Plateau Core	0.194
Co-clustering Frequency	3000-3500 Years	3000	North China	Sichuan Basin	0.232
Co-clustering Frequency	3000-3500 Years	3000	North China	Southern Segment	0.288
Co-clustering Frequency	3000-3500 Years	3000	North China	Western Highland	0.198
Co-clustering Frequency	3000-3500 Years	3000	Northern Segment	Panxi and Liangshan	0.422
Co-clustering Frequency	3000-3500 Years	3000	Northern Segment	Qinghai-Tibet Plateau Core	0.856
Co-clustering Frequency	3000-3500 Years	3000	Northern Segment	Sichuan Basin	0.624
Co-clustering Frequency	3000-3500 Years	3000	Northern Segment	Southern Segment	0.242
Co-clustering Frequency	3000-3500 Years	3000	Northern Segment	Western Highland	0.876
Co-clustering Frequency	3000-3500 Years	3000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.504
Co-clustering Frequency	3000-3500 Years	3000	Panxi and Liangshan	Sichuan Basin	0.234
Co-clustering Frequency	3000-3500 Years	3000	Panxi and Liangshan	Southern Segment	0.008
Co-clustering Frequency	3000-3500 Years	3000	Panxi and Liangshan	Western Highland	0.484
Co-clustering Frequency	3000-3500 Years	3000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.6
Co-clustering Frequency	3000-3500 Years	3000	Qinghai-Tibet Plateau Core	Southern Segment	0.2
Co-clustering Frequency	3000-3500 Years	3000	Qinghai-Tibet Plateau Core	Western Highland	0.932
Co-clustering Frequency	3000-3500 Years	3000	Sichuan Basin	Southern Segment	0.49
Co-clustering Frequency	3000-3500 Years	3000	Sichuan Basin	Western Highland	0.626
Co-clustering Frequency	3000-3500 Years	3000	Southern Segment	Western Highland	0.216
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	North China	0.022
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	Northern Segment	0.076
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	Panxi and Liangshan	0.78
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	Qinghai-Tibet Plateau Core	0.072
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	Sichuan Basin	0.02
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	Southern Segment	0.022
Co-clustering Frequency	3500-4000 Years	3500	Central Segment	Western Highland	0.052
Co-clustering Frequency	3500-4000 Years	3500	North China	Northern Segment	0.24
Co-clustering Frequency	3500-4000 Years	3500	North China	Panxi and Liangshan	0.008
Co-clustering Frequency	3500-4000 Years	3500	North China	Qinghai-Tibet Plateau Core	0.116
Co-clustering Frequency	3500-4000 Years	3500	North China	Sichuan Basin	0.016
Co-clustering Frequency	3500-4000 Years	3500	North China	Southern Segment	0.132
Co-clustering Frequency	3500-4000 Years	3500	North China	Western Highland	0.116
Co-clustering Frequency	3500-4000 Years	3500	Northern Segment	Panxi and Liangshan	0.068
Co-clustering Frequency	3500-4000 Years	3500	Northern Segment	Qinghai-Tibet Plateau Core	0.624
Co-clustering Frequency	3500-4000 Years	3500	Northern Segment	Sichuan Basin	0.252
Co-clustering Frequency	3500-4000 Years	3500	Northern Segment	Southern Segment	0.496
Co-clustering Frequency	3500-4000 Years	3500	Northern Segment	Western Highland	0.632
Co-clustering Frequency	3500-4000 Years	3500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.08
Co-clustering Frequency	3500-4000 Years	3500	Panxi and Liangshan	Sichuan Basin	0.026
Co-clustering Frequency	3500-4000 Years	3500	Panxi and Liangshan	Southern Segment	0.022
Co-clustering Frequency	3500-4000 Years	3500	Panxi and Liangshan	Western Highland	0.054
Co-clustering Frequency	3500-4000 Years	3500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.168
Co-clustering Frequency	3500-4000 Years	3500	Qinghai-Tibet Plateau Core	Southern Segment	0.366
Co-clustering Frequency	3500-4000 Years	3500	Qinghai-Tibet Plateau Core	Western Highland	0.844
Co-clustering Frequency	3500-4000 Years	3500	Sichuan Basin	Southern Segment	0.444
Co-clustering Frequency	3500-4000 Years	3500	Sichuan Basin	Western Highland	0.146
Co-clustering Frequency	3500-4000 Years	3500	Southern Segment	Western Highland	0.338
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	North China	0.132
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	Northern Segment	0.786
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	Panxi and Liangshan	0.908
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	Qinghai-Tibet Plateau Core	0.74
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	Sichuan Basin	0.214
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	Southern Segment	0.066
Co-clustering Frequency	4000-4500 Years	4000	Central Segment	Western Highland	0.736
Co-clustering Frequency	4000-4500 Years	4000	North China	Northern Segment	0.258
Co-clustering Frequency	4000-4500 Years	4000	North China	Panxi and Liangshan	0.09
Co-clustering Frequency	4000-4500 Years	4000	North China	Qinghai-Tibet Plateau Core	0.216
Co-clustering Frequency	4000-4500 Years	4000	North China	Sichuan Basin	0.008
Co-clustering Frequency	4000-4500 Years	4000	North China	Southern Segment	0.008
Co-clustering Frequency	4000-4500 Years	4000	North China	Western Highland	0.232
Co-clustering Frequency	4000-4500 Years	4000	Northern Segment	Panxi and Liangshan	0.788
Co-clustering Frequency	4000-4500 Years	4000	Northern Segment	Qinghai-Tibet Plateau Core	0.686
Co-clustering Frequency	4000-4500 Years	4000	Northern Segment	Sichuan Basin	0.172
Co-clustering Frequency	4000-4500 Years	4000	Northern Segment	Southern Segment	0.05
Co-clustering Frequency	4000-4500 Years	4000	Northern Segment	Western Highland	0.66
Co-clustering Frequency	4000-4500 Years	4000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.76
Co-clustering Frequency	4000-4500 Years	4000	Panxi and Liangshan	Sichuan Basin	0.182
Co-clustering Frequency	4000-4500 Years	4000	Panxi and Liangshan	Southern Segment	0.038
Co-clustering Frequency	4000-4500 Years	4000	Panxi and Liangshan	Western Highland	0.766
Co-clustering Frequency	4000-4500 Years	4000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.202
Co-clustering Frequency	4000-4500 Years	4000	Qinghai-Tibet Plateau Core	Southern Segment	0.076
Co-clustering Frequency	4000-4500 Years	4000	Qinghai-Tibet Plateau Core	Western Highland	0.704
Co-clustering Frequency	4000-4500 Years	4000	Sichuan Basin	Southern Segment	0.744
Co-clustering Frequency	4000-4500 Years	4000	Sichuan Basin	Western Highland	0.164
Co-clustering Frequency	4000-4500 Years	4000	Southern Segment	Western Highland	0.05
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	North China	0.44
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	Northern Segment	0.862
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	Panxi and Liangshan	0.828
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	Qinghai-Tibet Plateau Core	0.788
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	Sichuan Basin	0.656
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	Southern Segment	0.734
Co-clustering Frequency	4500-5000 Years	4500	Central Segment	Western Highland	0.78
Co-clustering Frequency	4500-5000 Years	4500	North China	Northern Segment	0.542
Co-clustering Frequency	4500-5000 Years	4500	North China	Panxi and Liangshan	0.404
Co-clustering Frequency	4500-5000 Years	4500	North China	Qinghai-Tibet Plateau Core	0.648
Co-clustering Frequency	4500-5000 Years	4500	North China	Sichuan Basin	0.112
Co-clustering Frequency	4500-5000 Years	4500	North China	Southern Segment	0.298
Co-clustering Frequency	4500-5000 Years	4500	North China	Western Highland	0.648
Co-clustering Frequency	4500-5000 Years	4500	Northern Segment	Panxi and Liangshan	0.834
Co-clustering Frequency	4500-5000 Years	4500	Northern Segment	Qinghai-Tibet Plateau Core	0.866
Co-clustering Frequency	4500-5000 Years	4500	Northern Segment	Sichuan Basin	0.562
Co-clustering Frequency	4500-5000 Years	4500	Northern Segment	Southern Segment	0.732
Co-clustering Frequency	4500-5000 Years	4500	Northern Segment	Western Highland	0.874
Co-clustering Frequency	4500-5000 Years	4500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.744
Co-clustering Frequency	4500-5000 Years	4500	Panxi and Liangshan	Sichuan Basin	0.624
Co-clustering Frequency	4500-5000 Years	4500	Panxi and Liangshan	Southern Segment	0.714
Co-clustering Frequency	4500-5000 Years	4500	Panxi and Liangshan	Western Highland	0.752
Co-clustering Frequency	4500-5000 Years	4500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.464
Co-clustering Frequency	4500-5000 Years	4500	Qinghai-Tibet Plateau Core	Southern Segment	0.634
Co-clustering Frequency	4500-5000 Years	4500	Qinghai-Tibet Plateau Core	Western Highland	0.892
Co-clustering Frequency	4500-5000 Years	4500	Sichuan Basin	Southern Segment	0.658
Co-clustering Frequency	4500-5000 Years	4500	Sichuan Basin	Western Highland	0.46
Co-clustering Frequency	4500-5000 Years	4500	Southern Segment	Western Highland	0.626
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	North China	0.678
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	Northern Segment	0.858
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	Panxi and Liangshan	0.804
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	Qinghai-Tibet Plateau Core	0.82
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	Sichuan Basin	0.51
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	Southern Segment	0.366
Co-clustering Frequency	5000-5500 Years	5000	Central Segment	Western Highland	0.82
Co-clustering Frequency	5000-5500 Years	5000	North China	Northern Segment	0.764
Co-clustering Frequency	5000-5500 Years	5000	North China	Panxi and Liangshan	0.654
Co-clustering Frequency	5000-5500 Years	5000	North China	Qinghai-Tibet Plateau Core	0.842
Co-clustering Frequency	5000-5500 Years	5000	North China	Sichuan Basin	0.208
Co-clustering Frequency	5000-5500 Years	5000	North China	Southern Segment	0.064
Co-clustering Frequency	5000-5500 Years	5000	North China	Western Highland	0.85
Co-clustering Frequency	5000-5500 Years	5000	Northern Segment	Panxi and Liangshan	0.83
Co-clustering Frequency	5000-5500 Years	5000	Northern Segment	Qinghai-Tibet Plateau Core	0.89
Co-clustering Frequency	5000-5500 Years	5000	Northern Segment	Sichuan Basin	0.444
Co-clustering Frequency	5000-5500 Years	5000	Northern Segment	Southern Segment	0.296
Co-clustering Frequency	5000-5500 Years	5000	Northern Segment	Western Highland	0.898
Co-clustering Frequency	5000-5500 Years	5000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.804
Co-clustering Frequency	5000-5500 Years	5000	Panxi and Liangshan	Sichuan Basin	0.522
Co-clustering Frequency	5000-5500 Years	5000	Panxi and Liangshan	Southern Segment	0.358
Co-clustering Frequency	5000-5500 Years	5000	Panxi and Liangshan	Western Highland	0.792
Co-clustering Frequency	5000-5500 Years	5000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.362
Co-clustering Frequency	5000-5500 Years	5000	Qinghai-Tibet Plateau Core	Southern Segment	0.214
Co-clustering Frequency	5000-5500 Years	5000	Qinghai-Tibet Plateau Core	Western Highland	0.952
Co-clustering Frequency	5000-5500 Years	5000	Sichuan Basin	Southern Segment	0.764
Co-clustering Frequency	5000-5500 Years	5000	Sichuan Basin	Western Highland	0.35
Co-clustering Frequency	5000-5500 Years	5000	Southern Segment	Western Highland	0.202
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	North China	0.442
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	Northern Segment	0.702
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	Panxi and Liangshan	0.702
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	Qinghai-Tibet Plateau Core	0.692
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	Sichuan Basin	0.472
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	Southern Segment	0.65
Co-clustering Frequency	5500-6000 Years	5500	Central Segment	Western Highland	0.718
Co-clustering Frequency	5500-6000 Years	5500	North China	Northern Segment	0.684
Co-clustering Frequency	5500-6000 Years	5500	North China	Panxi and Liangshan	0.724
Co-clustering Frequency	5500-6000 Years	5500	North China	Qinghai-Tibet Plateau Core	0.666
Co-clustering Frequency	5500-6000 Years	5500	North China	Sichuan Basin	0.65
Co-clustering Frequency	5500-6000 Years	5500	North China	Southern Segment	0.296
Co-clustering Frequency	5500-6000 Years	5500	North China	Western Highland	0.612
Co-clustering Frequency	5500-6000 Years	5500	Northern Segment	Panxi and Liangshan	0.904
Co-clustering Frequency	5500-6000 Years	5500	Northern Segment	Qinghai-Tibet Plateau Core	0.862
Co-clustering Frequency	5500-6000 Years	5500	Northern Segment	Sichuan Basin	0.718
